,mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,k_percent
0,0.000786564440155996,9.966666666666667,0.0038527589202214264,-0.0035455168320076666,1.0
1,0.000786564440155996,9.966666666666667,0.0038527589202214264,-0.0035455168320076666,1.5
2,0.000786564440155996,9.966666666666667,0.0038527589202214264,-0.0035455168320076666,2.0
3,0.0006944979991981864,12.683333333333334,0.0037352162898303307,-0.0042392186849572085,2.5
4,0.002808300050358037,17.533333333333335,0.04222552754961091,-0.004104952357567733,3.0
5,0.0017933027693885367,19.166666666666668,0.026704969746613624,-0.005595622183136194,3.5
6,0.0017933027693885367,19.166666666666668,0.026704969746613624,-0.005595622183136194,4.0
7,0.0017933027693885367,19.166666666666668,0.026704969746613624,-0.005595622183136194,4.5
8,0.0018197446306973083,19.733333333333334,0.02801629404576022,-0.005498842251235356,5.0
9,0.001664083369989835,20.683333333333334,0.02614545770262309,-0.005800581333703417,5.5
10,0.0011359552200626982,21.45,0.015786239470344878,-0.006782345300892704,6.0
11,0.0009157246055620019,22.966666666666665,0.011844475107740645,-0.006901830518470283,6.5
12,0.0011594491718537622,23.033333333333335,0.01749264592503166,-0.006635267991326771,7.0
13,0.0012119362971204056,24.066666666666666,0.019540600217364427,-0.006444624734208,7.5
14,0.001450859388519404,27.1,0.028478289428875852,-0.008684070041631037,8.0
15,0.0014497197389812472,27.166666666666668,0.028517386242323885,-0.008691736059447524,8.5
16,0.0007620044832332432,30.133333333333333,0.010908401761428394,-0.010060942951147697,9.0
17,0.0008608797160126585,31.6,0.014563799026000008,-0.010659619860533194,9.5
18,0.0009823245159049855,32.13333333333333,0.01871202777774687,-0.009911407011182559,10.0
19,0.0010605335754815283,32.7,0.02159944791824598,-0.010219929009335478,10.5
20,0.0011398338471957246,33.81666666666667,0.025018714599335426,-0.009805993688506227,11.0
21,0.001124990909439308,34.0,0.02464969092093647,-0.010093288094612109,11.5
22,0.0008759542678926888,36.4,0.01732473535129387,-0.011597379677502647,12.0
23,0.0008677513686033166,37.2,0.01740035091204338,-0.011813838396658678,12.5
24,0.001656150773711928,38.03333333333333,0.047775601093510325,-0.011476990554603278,13.0
25,0.0015169306670714626,38.46666666666667,0.0429645996600156,-0.011975408080766855,13.5
26,0.0014436738696095204,38.71666666666667,0.040407573318381934,-0.01259646549400012,14.0
27,0.0014848441037699,38.93333333333333,0.04223659710677477,-0.011868997770365479,14.5
28,0.0016883375621994318,39.2,0.05050283243821773,-0.01113158049088923,15.0
29,0.0015832902197732226,41.06666666666667,0.04859378502535368,-0.010890737229469918,15.5
30,0.0015453242598036205,41.55,0.04758822299484043,-0.011403950639103674,16.0
31,0.001544468117528552,41.583333333333336,0.047590799220562294,-0.011458179494825067,16.5
32,0.0014207539617946687,41.96666666666667,0.04283764126331627,-0.01301476246420059,17.0
33,0.0012990697070138528,42.11666666666667,0.0378658191604001,-0.013396994697734994,17.5
34,0.0005964724539631642,42.6,0.008369726538830793,-0.013012655613358773,18.0
35,0.0005399944395631719,44.11666666666667,0.006176088025395266,-0.014072214226841557,18.5
36,0.000704112392665664,44.63333333333333,0.013573549792644135,-0.013011443022802894,19.0
37,0.0007363553672327831,44.75,0.015051902683667042,-0.012824751245340164,19.5
38,0.0007363553672327831,44.75,0.015051902683667042,-0.012824751245340164,20.0
39,0.0007321860244656641,44.85,0.014898543197285034,-0.012868602915943045,20.5
40,0.0007535874492254616,45.21666666666667,0.015988045829144624,-0.012916335913736336,21.0
41,0.0007128230797842194,45.65,0.014280373592149615,-0.013606924122973015,21.5
42,0.0006471987831789854,46.36666666666667,0.011461783580065622,-0.014106755562466301,22.0
43,0.0006489218973376299,46.38333333333333,0.011545827338177064,-0.014095612293805864,22.5
44,0.0005847505496926913,46.983333333333334,0.008680196659728278,-0.014330986372349521,23.0
45,0.00027836845854617784,47.71666666666667,-0.005803851719704882,-0.014125079464960366,23.5
46,3.9695427357329367e-05,48.85,-0.017600878373594465,-0.015592233072447288,24.0
47,6.570694334070836e-05,49.38333333333333,-0.016508505448024687,-0.015367301958052831,24.5
48,6.570694334070836e-05,49.38333333333333,-0.016508505448024687,-0.015367301958052831,25.0
