mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,std_monthly_corpus_return,min_monthly_corpus_return,max_monthly_corpus_return,median_monthly_corpus_return,mode_monthly_corpus_return,k_percent
0.0034787914228085652,38.75,-0.12042010218188859,-0.0009916984747591758,0.02740464366416534,-0.08466672633023509,0.05385784944036298,0.0,0.0,1.0
0.0034787914228085652,38.75,-0.12042010218188859,-0.0009916984747591758,0.02740464366416534,-0.08466672633023509,0.05385784944036298,0.0,0.0,1.5
0.0034787914228085652,38.75,-0.12042010218188859,-0.0009916984747591758,0.02740464366416534,-0.08466672633023509,0.05385784944036298,0.0,0.0,2.0
0.001755587569327492,51.11666666666667,-0.10957451686563442,0.009030360000183034,0.06867107293642868,-0.08155116080505054,0.48054725504997164,0.0,0.0,2.5
0.0024666559922405036,71.86666666666666,-0.05954053827250772,0.014393172413605245,0.07296089838013668,-0.08155116080505054,0.48054725504997164,0.006013568531940461,-0.08155116080505054,3.0
0.002561842343162059,76.71666666666667,-0.05357302521640414,0.014294119902768014,0.07304433032728566,-0.08155116080505054,0.48054725504997164,0.005514610844048473,-0.08155116080505054,3.5
0.002561842343162059,76.71666666666667,-0.05357302521640414,0.014294119902768014,0.07304433032728566,-0.08155116080505054,0.48054725504997164,0.005514610844048473,-0.08155116080505054,4.0
0.002561842343162059,76.71666666666667,-0.05357302521640414,0.014294119902768014,0.07304433032728566,-0.08155116080505054,0.48054725504997164,0.005514610844048473,-0.08155116080505054,4.5
-0.0005305742229129383,85.25,-0.10457991057686399,0.008855180037088031,0.045336301335378415,-0.07925738659090786,0.1819072391339911,0.005514610844048473,-0.07925738659090786,5.0
-0.0005420716145443286,88.76666666666667,-0.1371006882243892,0.008021277924880348,0.04668005733441082,-0.07925738659090786,0.1819072391339911,0.003311987468432198,-0.07925738659090786,5.5
-0.000849929756298538,104.45,-0.10656377583316325,0.005986192322753984,0.04608586739651038,-0.07925738659090786,0.1819072391339911,0.0007488728643445519,-0.07925738659090786,6.0
-0.0007515487487179587,106.66666666666667,-0.11389839280310592,0.006067366878365471,0.04612032025622336,-0.07925738659090786,0.1819072391339911,0.0024876305576618796,-0.07925738659090786,6.5
-0.0009292528263011732,108.4,-0.12859298174807957,0.005863906504119895,0.04627468349627224,-0.07925738659090786,0.1819072391339911,0.0024876305576618796,-0.07925738659090786,7.0
-0.0010482729021312723,111.83333333333333,-0.1514255691072767,0.005632198269044009,0.04614613651775136,-0.08052892008172607,0.1819072391339911,0.0024876305576618796,-0.08052892008172607,7.5
-0.0008683852943859545,112.66666666666667,-0.15287896844294993,0.005168425755218849,0.047704337154812586,-0.08527607314433205,0.1819072391339911,0.0024876305576618796,-0.08527607314433205,8.0
0.001324419434664541,116.58333333333333,-0.13625591243965107,0.00497320553636398,0.04721211302390626,-0.08527607314433205,0.1819072391339911,0.0024876305576618796,-0.08527607314433205,8.5
0.0015220279256780017,119.13333333333334,-0.08966180388107954,0.004516157830174946,0.04663081667340022,-0.08527607314433205,0.1819072391339911,0.003168475494002454,-0.08527607314433205,9.0
0.0015472058361813295,121.36666666666666,-0.07992027243274943,0.004439660858175296,0.04667890767603303,-0.08527607314433205,0.1819072391339911,0.003168475494002454,-0.08527607314433205,9.5
0.0015167304722104808,124.76666666666667,-0.08553374157871621,0.0037396914289436994,0.04675472073830045,-0.08703049940431995,0.1819072391339911,0.0021716934852890057,-0.08703049940431995,10.0
